entity_id;area;type;status;state;priority;ticket_number;name;create_date;created_by;update_date;updated_by;parent_ticket_id;assignee;owner;due_date;rank;estimation;spent;workgroup;resolution
94297;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-1965;"[FE] Бэклог. Кастомизация колонок. Кастомизация для панелей ""спринты"" и  ""бэклоги"" зависима друг от друга";2023-03-16 16:59:00.000000;А. К.;2024-09-10 11:20:09.193785;А. К.;72779;А. К.;А. К.;;0|qzzywk:;60;;;Готово
102481;Система.Ошибки;История;Закрыто;Normal;Критический;PPIN-1175;[ГенераторДокументов] Интеграция со Система.ГенераторДокументов в части синхронизации Стандартных решений;2023-05-12 13:33:55.918127;А. З.;2024-08-06 19:30:16.692683;;3488105;А. Е.;А. Е.;;0|qv7n1c:y;432000;;Новая функциональность;Готово
1805925;Система.Таск-трекер;Дефект;Тестирование;Normal;Высокий;PPTS-3189;[FE] История изменений. Пустые строки в истории изменений, если выбрать значение, которое уже было выбрано до редактирования поля;2023-07-12 09:36:04.479760;А. К.;2024-11-05 15:02:00.900484;А. К.;;А. К.;А. К.;;0|qzsklw:;60;;;
1934905;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-3383;[FE] Зависимые поля. Тип реакции disable НЕ работает для некоторых типов полей;2023-08-04 11:32:25.829919;А. Д.;2024-08-13 11:46:20.165757;А. К.;;А. К.;Я. П.;;0|qzh3e8:;;;;Готово
1943849;Система.Ошибки;Дефект;Отклонен исполнителем;Normal;Низкий;PPIN-1609;[BE] При сортировке по Теме если знаки препинания стоят перед буквенными значениями сортировка отрабатывает неправильно;2023-08-09 06:20:44.391950;А. С.;2024-07-18 08:23:39.657571;А. Е.;2083371;А. М.;А. Ж.;;0|qzzywj:zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzm;;;;Отклонено
1966759;Управление релизами изменениями;Дефект;Исправление;Normal;Низкий;PPRC-1195;[PPRC][PREPROD] При незаполненном обязательном поле Изменяемые ИС текст под полем некорректный;2023-08-15 10:37:43.257435;В. С.;2024-09-04 07:17:56.613513;Е. Ш.;;Е. Б.;В. С.;;0|qzd5ec:;;;;
2353124;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-3694;[US] Паспорт стрима (печатная форма);2023-10-05 07:14:35.544766;Н. С.;2024-09-19 15:48:16.634504;М. Н.;4463870;Н. С.;Н. С.;;0|qyau0c:;3600;3600;Новая функциональность;Готово
2383243;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-3777;[US] Настройка dev стенда в Компания;2023-10-10 15:28:14.525293;А. К.;2024-07-30 15:07:44.863470;Н. К.;4187689;Н. К.;О. К.;;0|qy7r2o:;3600;;Архитектурная задача;Готово
2441405;Управление релизами изменениями;Дефект;Исправление;Normal;Низкий;PPRC-1466;[PPRC][ST] ЗНУ. При попытке создать ЗНУ пользователем без прав появляется и исчезает шторка создания ЗНУ. ;2023-10-19 17:58:13.821874;Е. Б.;2024-09-03 10:33:50.369963;Е. Б.;;Е. Ш.;Е. Б.;;0|qy2k1s:;;;;
2444222;Система.ХранениеАртефактов;Дефект;Анализ;Normal;Средний;PPAR-3875;[С-Док][FE][Публикация] Левое меню публикации;2023-10-20 12:33:07.008427;В. С.;2024-07-16 12:06:16.525857;О. Н.;;В. Ю.;В. С.;;0|qy279g:;;10800;;
