issueType,status_issues,priority,storyPoint,issueLinks,blockedBy,blocks,votes,watchcount,subtasks,status_summary,priorityId,initialStoryPoint,currentStoryPoint,assignee_summary,sprintId,sprintName,sprintState,sprintStartDate,sprintEndDate,totalNumberOfIssues,completedIssuesCount,puntedIssues,issuesNotCompletedInCurrentSprint,completedIssuesEstimateSum,puntedIssuesEstimateSum,NoOfDevelopers,SprintLength
Story,Done,4.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,Completed,4.0,0.0,3.0,dturanski,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Technical task,Done,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,
Technical task,Done,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,0.0,1.0,mark.pollack,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,Completed,3.0,0.0,3.0,mark.fisher,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Technical task,Done,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
Technical task,Done,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
Technical task,Done,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
Story,Done,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,Completed,4.0,0.0,1.0,grussell,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Technical task,Done,4.0,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,0.0,2.0,mark.fisher,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,3.0,3.0,1.0,mark.pollack,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,3.0,1.0,mark.pollack,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,2.0,1.0,1.0,hillert,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,2.0,2.0,2.0,thomas.risberg,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,2.0,2.0,mark.fisher,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Bug,Done,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,1.0,1.0,grussell,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Punted,4.0,0.0,1.0,mminella,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,1.0,1.0,mminella,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,luke,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,1.0,1.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,1.0,1.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,CompletedInNotherSprint,3.0,2.0,2.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,2.0,2.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,mark.pollack,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,3.0,2.0,luke,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,2.0,5.0,luke,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,5.0,5.0,luke,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,2.0,8.0,grussell,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,8.0,8.0,grussell,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,2.0,5.0,luke,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,5.0,5.0,luke,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,13.0,13.0,grussell,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,5.0,5.0,mminella,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,1.0,dturanski,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,1.0,dturanski,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,4.0,0.0,0.0,mark.pollack,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,1.0,3.0,mark.pollack,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,Punted,3.0,1.0,2.0,mark.fisher,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,Punted,3.0,2.0,3.0,mark.fisher,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,Completed,3.0,3.0,3.0,mark.fisher,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,8.0,8.0,wkoh,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,3.0,2.0,mark.pollack,1.0,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,23.0,11.0,6.0,0.0,18.0,9.0,8.0,21.0
Story,Done,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Punted,3.0,2.0,5.0,mark.pollack,3.0,Sprint 2,CLOSED,6-May-13,10-May-13,26.0,9.0,8.0,0.0,10.0,27.0,6.0,8.0
Story,Done,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,3.0,5.0,5.0,mark.pollack,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,Completed,4.0,8.0,8.0,wkoh,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,dturanski,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,mark.pollack,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Story,Done,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,2.0,2.0,mark.pollack,4.0,Sprint 3,CLOSED,15-May-13,20-May-13,23.0,15.0,4.0,0.0,72.0,15.0,9.0,6.0
Technical task,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
Technical task,Done,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,
Story,Done,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,Completed,4.0,5.0,5.0,mark.fisher,5.0,Sprint 4,CLOSED,20-May-13,24-May-13,48.0,28.0,10.0,0.0,58.0,21.0,10.0,8.0
Story,Done,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Completed,4.0,3.0,1.0,,5.0,Sprint 4,CLOSED,20-May-13,24-May-13,48.0,28.0,10.0,0.0,58.0,21.0,10.0,8.0
